# Original filename: 0037_JAR_2017-08-24.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
35173	42	STIM=a
39543	42	RESP=1
50970	42	STIM=f
54881	42	RESP=1
66629	42	STIM=u
71679	42	RESP=1
82716	42	STIM=m
88180	42	RESP=1
99467	42	STIM=m
104576	42	RESP=1
115924	42	STIM=v
121378	42	RESP=2
134567	42	STIM=m
138331	42	RESP=1
152640	42	STIM=1
157803	42	RESP=1
170035	42	STIM=t
175715	42	RESP=1
186727	42	STIM=s
195251	42	RESP=1
203541	42	STIM=o
211515	42	RESP=1
220737	42	STIM=d
226572	42	RESP=1
236563	42	STIM=y
244115	42	RESP=1
253684	42	STIM=z
257229	42	RESP=1
270689	42	STIM=y
279128	42	RESP=1
286149	42	STIM=6
291368	42	RESP=1
304895	42	STIM=m
308806	42	RESP=1
322940	42	STIM=6
331115	42	RESP=2
341407	42	STIM=r
350072	42	RESP=1
356416	42	STIM=h
361543	42	RESP=1
372138	42	STIM=8
377852	42	RESP=2
389831	42	STIM=c
394997	42	RESP=1
408107	42	STIM=z
413738	42	RESP=2
426189	42	STIM=s
439104	42	RESP=1
442777	42	STIM=j
448269	42	RESP=1
459354	42	STIM=w
464896	42	RESP=1
474478	42	STIM=z
478891	42	RESP=1
489860	42	STIM=o
492856	42	RESP=1
507627	42	STIM=s
519480	42	RESP=1
524394	42	STIM=t
527126	42	RESP=1
541559	42	STIM=u
548611	42	RESP=1
557860	42	STIM=y
562986	42	RESP=1
576166	42	STIM=7
580420	42	RESP=2
592742	42	STIM=6
598749	42	RESP=2
609614	42	STIM=x
616352	42	RESP=1
626010	42	STIM=i
632268	42	RESP=1
642117	42	STIM=e
647729	42	RESP=1
661096	42	STIM=5
666420	42	RESP=2
677308	42	STIM=s
682757	42	RESP=1
693806	42	STIM=a
697398	42	RESP=1
711671	42	STIM=t
716467	42	RESP=1
730328	42	STIM=h
737289	42	RESP=1
747826	42	STIM=a
752937	42	RESP=1
763622	42	STIM=o
769955	42	RESP=1
779231	42	STIM=m
786179	42	RESP=1
795255	42	STIM=k
798355	42	RESP=1
813317	42	STIM=l
820029	42	RESP=1
829327	42	STIM=y
839051	42	RESP=1
844760	42	STIM=7
848224	42	RESP=2
862149	42	STIM=q
867780	42	RESP=1
879901	42	STIM=n
885541	42	RESP=1
897671	42	STIM=h
902525	42	RESP=1
915905	42	STIM=h
920276	42	RESP=1
934380	42	STIM=z
941272	42	RESP=1
949669	42	STIM=u
953544	42	RESP=1
968141	42	STIM=g
971558	42	RESP=1
986168	42	STIM=m
989690	42	RESP=1
1003938	42	STIM=0
1008551	42	RESP=2
1019890	42	STIM=t
1027919	42	RESP=1
1038587	42	STIM=o
1047413	42	RESP=1
1055989	42	STIM=y
1060298	42	RESP=1
1071673	42	STIM=z
1077919	42	RESP=1
1087199	42	STIM=k
1094762	42	RESP=1
1104450	42	STIM=1
1109553	42	RESP=2
1123028	42	STIM=v
1125626	42	RESP=1
1140825	42	STIM=x
1145969	42	RESP=1
1158863	42	STIM=g
1161407	42	RESP=1
1176069	42	STIM=u
1183358	42	RESP=1
1191947	42	STIM=3
1206279	42	RESP=2
1207453	42	STIM=u
1215366	42	RESP=1
1224520	42	STIM=c
1228941	42	RESP=1
1240327	42	STIM=j
1248612	42	RESP=2
1259129	42	STIM=i
1270035	42	RESP=1
1274757	42	STIM=m
1281013	42	RESP=1
1290355	42	STIM=q
1294740	42	RESP=1
1306812	42	STIM=y
1313617	42	RESP=1
1324710	42	STIM=h
1333864	42	RESP=1
1343203	42	STIM=0
1349505	42	RESP=2
1358228	42	STIM=4
1365267	42	RESP=2
1377007	42	STIM=h
1381589	42	RESP=1
1394059	42	STIM=i
1399671	42	RESP=1
1410373	42	STIM=l
1414113	42	RESP=1
1426500	42	STIM=b
1434675	42	RESP=1
1442703	42	STIM=e
1446650	42	RESP=1
1460074	42	STIM=p
1466801	42	RESP=1
1477002	42	STIM=2
1482303	42	RESP=2
1494639	42	STIM=6
1499132	42	RESP=2
1511649	42	STIM=c
1516497	42	RESP=1
1528932	42	STIM=7
1534908	42	RESP=1
1546860	42	STIM=g
1549960	42	RESP=1
1565025	42	STIM=k
1572262	42	RESP=1
1583734	42	STIM=h
1587323	42	RESP=1
1599530	42	STIM=c
1606170	42	RESP=1
1617115	42	STIM=9
1623826	42	RESP=2
1636064	42	STIM=x
1641931	42	RESP=1
1651642	42	STIM=y
1655808	42	RESP=1
1666668	42	STIM=s
1670118	42	RESP=1
1684186	42	STIM=h
1689456	42	RESP=1
1701726	42	STIM=8
1705205	42	RESP=2
1720177	42	STIM=9
1725500	42	RESP=2
1738363	42	STIM=3
1743642	42	RESP=2
1754160	42	STIM=m
1758588	42	RESP=1
1771223	42	STIM=u
1779923	42	RESP=1
1789332	42	STIM=n
1793530	42	RESP=2
1806200	42	STIM=c
1810748	42	RESP=1
1821876	42	STIM=z
1829624	42	RESP=1
1838971	42	STIM=b
1842960	42	RESP=1
1854847	42	STIM=s
1857345	42	RESP=1
1870188	42	STIM=v
1876839	42	RESP=1
1887243	42	STIM=b
1895527	42	RESP=1
1905981	42	STIM=4
1912496	42	RESP=2
1921388	42	STIM=p
1925372	42	RESP=1
1937789	42	STIM=p
1941091	42	RESP=1
1952848	42	STIM=d
1959300	42	RESP=1
1970250	42	STIM=r
1975589	42	RESP=1
1989090	42	STIM=l
1997565	42	RESP=1
2007170	42	STIM=i
2012549	42	RESP=1
2023382	42	STIM=y
2031395	42	RESP=1
2042240	42	STIM=u
2047298	42	RESP=1
2060778	42	STIM=i
2066990	42	RESP=1
2077353	42	STIM=2
2082883	42	RESP=2
2092976	42	STIM=r
2097702	42	RESP=1
2110477	42	STIM=z
2116593	42	RESP=1
2126097	42	STIM=i
2130783	42	RESP=1
2141198	42	STIM=h
2146761	42	RESP=1
2156682	42	STIM=j
2160136	42	RESP=1
2173342	42	STIM=p
2180131	42	RESP=1
2188752	42	STIM=j
2195224	42	RESP=1
2205579	42	STIM=4
2212434	42	RESP=2
2220639	42	STIM=v
2226265	42	RESP=1
2235762	42	STIM=j
2238816	42	RESP=1
2251615	42	STIM=6
2259957	42	RESP=1
2266641	42	STIM=f
2274207	42	RESP=1
2283359	42	STIM=i
2286722	42	RESP=2
2300890	42	STIM=a
2305668	42	RESP=1
2317518	42	STIM=u
2321716	42	RESP=1
2334682	42	STIM=9
2343005	42	RESP=2
2351463	42	STIM=q
2355593	42	RESP=1
2369356	42	STIM=4
2373069	42	RESP=2
2386775	42	STIM=u
2393069	42	RESP=1
2405186	42	STIM=3
2409257	42	RESP=2
2422716	42	STIM=u
2427232	42	RESP=1
2441573	42	STIM=u
2446284	42	RESP=1
2459541	42	STIM=n
2463132	42	RESP=1
2477545	42	STIM=c
2483916	42	RESP=1
2495547	42	STIM=z
2498241	42	RESP=1
2511191	42	STIM=b
2516265	42	RESP=1
2529699	42	STIM=g
2535785	42	RESP=1
2546863	42	STIM=m
2550566	42	RESP=1
2565532	42	STIM=k
2573345	42	RESP=1
2583713	42	STIM=f
2586484	42	RESP=1
2599878	42	STIM=g
2604893	42	RESP=1
2618721	42	STIM=1
2625791	42	RESP=2
2637174	42	STIM=h
2642238	42	RESP=1
2652781	42	STIM=m
2659611	42	RESP=1
2669740	42	STIM=3
2676176	42	RESP=2
2686062	42	STIM=s
2689558	42	RESP=1
