# Original filename: 0050_VMR_2016-09-19.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
38049	42	STIM=m
42621	42	RESP=1
56454	42	STIM=7
61886	42	RESP=2
71569	42	STIM=l
76365	42	RESP=1
87159	42	STIM=b
94032	42	RESP=1
104517	42	STIM=a
108652	42	RESP=1
122608	42	STIM=q
127403	42	RESP=1
139130	42	STIM=t
142544	42	RESP=1
156875	42	STIM=l
160195	42	RESP=1
175644	42	STIM=5
181092	42	RESP=2
193958	42	STIM=l
197377	42	RESP=1
211090	42	STIM=k
215512	42	RESP=1
227881	42	STIM=0
232893	42	RESP=2
243121	42	STIM=j
247904	42	RESP=1
260413	42	STIM=g
264590	42	RESP=1
278955	42	STIM=8
286403	42	RESP=1
297316	42	STIM=0
302750	42	RESP=2
313175	42	STIM=f
319304	42	RESP=1
328704	42	STIM=x
332613	42	RESP=1
346497	42	STIM=4
350882	42	RESP=2
365349	42	STIM=q
369025	42	RESP=1
384347	42	STIM=p
387583	42	RESP=1
399379	42	STIM=p
404409	42	RESP=1
418260	42	STIM=e
421501	42	RESP=1
433998	42	STIM=m
440093	42	RESP=1
452275	42	STIM=g
457070	42	RESP=1
470927	42	STIM=p
474507	42	RESP=1
488013	42	STIM=h
495245	42	RESP=1
505489	42	STIM=n
510957	42	RESP=1
521503	42	STIM=z
524695	42	RESP=1
540271	42	STIM=9
545509	42	RESP=2
555564	42	STIM=n
562899	42	RESP=1
571318	42	STIM=2
578616	42	RESP=2
587884	42	STIM=c
594899	42	RESP=1
603167	42	STIM=e
606649	42	RESP=1
621502	42	STIM=b
625336	42	RESP=1
640445	42	STIM=m
646874	42	RESP=1
658244	42	STIM=4
665451	42	RESP=2
675740	42	STIM=t
678634	42	RESP=2
692462	42	STIM=8
700887	42	RESP=2
710269	42	STIM=l
716005	42	RESP=1
725935	42	STIM=f
731971	42	RESP=1
744774	42	STIM=z
747601	42	RESP=1
763307	42	STIM=w
766132	42	RESP=1
779295	42	STIM=x
783068	42	RESP=1
798156	42	STIM=i
802484	42	RESP=1
817013	42	STIM=y
820947	42	RESP=1
835351	42	STIM=3
845252	42	RESP=2
854281	42	STIM=y
858344	42	RESP=1
871084	42	STIM=g
874359	42	RESP=1
889505	42	STIM=j
894308	42	RESP=1
905217	42	STIM=8
909698	42	RESP=2
920657	42	STIM=b
923927	42	RESP=1
938280	42	STIM=d
942684	42	RESP=1
954505	42	STIM=0
960151	42	RESP=2
972859	42	STIM=h
975947	42	RESP=1
988510	42	STIM=n
992204	42	RESP=1
1007225	42	STIM=e
1013789	42	RESP=1
1024811	42	STIM=w
1029098	42	RESP=1
1041057	42	STIM=p
1046167	42	RESP=1
1058861	42	STIM=h
1062981	42	RESP=1
1075460	42	STIM=f
1080181	42	RESP=1
1092699	42	STIM=u
1098359	42	RESP=1
1111229	42	STIM=z
1115781	42	RESP=1
1126677	42	STIM=8
1131163	42	RESP=1
1143129	42	STIM=v
1147446	42	RESP=1
1159663	42	STIM=k
1164273	42	RESP=1
1176999	42	STIM=2
1183461	42	RESP=1
1195072	42	STIM=l
1199001	42	RESP=1
1212900	42	STIM=b
1219276	42	RESP=1
1228916	42	STIM=g
1232030	42	RESP=1
1247773	42	STIM=e
1252339	42	RESP=1
1264492	42	STIM=y
1267018	42	RESP=1
1280885	42	STIM=h
1285108	42	RESP=1
1297087	42	STIM=d
1302002	42	RESP=1
1313336	42	STIM=r
1318097	42	RESP=1
1330765	42	STIM=w
1336238	42	RESP=1
1349303	42	STIM=8
1355695	42	RESP=2
1365466	42	STIM=c
1375042	42	RESP=1
1383938	42	STIM=f
1389063	42	RESP=1
1402798	42	STIM=4
1407250	42	RESP=2
1421480	42	STIM=g
1424621	42	RESP=1
1440334	42	STIM=n
1444434	42	RESP=1
1458553	42	STIM=l
1463524	42	RESP=1
1475465	42	STIM=i
1480019	42	RESP=1
1491746	42	STIM=t
1496520	42	RESP=1
1510374	42	STIM=j
1515099	42	RESP=1
1527249	42	STIM=0
1535277	42	RESP=1
1544754	42	STIM=y
1549036	42	RESP=1
1563717	42	STIM=k
1567838	42	RESP=1
1581833	42	STIM=o
1589436	42	RESP=1
1598763	42	STIM=8
1609027	42	RESP=2
1614020	42	STIM=g
1619042	42	RESP=1
1631893	42	STIM=t
1640203	42	RESP=1
1650722	42	STIM=n
1655006	42	RESP=1
1666368	42	STIM=i
1672246	42	RESP=1
1683290	42	STIM=f
1686654	42	RESP=1
1698756	42	STIM=d
1706304	42	RESP=1
1714129	42	STIM=c
1721805	42	RESP=1
1729784	42	STIM=7
1734796	42	RESP=2
1746741	42	STIM=7
1752672	42	RESP=2
1762039	42	STIM=e
1766002	42	RESP=1
1777415	42	STIM=p
1782974	42	RESP=1
1792821	42	STIM=u
1798833	42	RESP=1
1810382	42	STIM=v
1813991	42	RESP=1
1829352	42	STIM=o
1831620	42	RESP=1
1846300	42	STIM=k
1849652	42	RESP=1
1865004	42	STIM=z
1869863	42	RESP=1
1882794	42	STIM=j
1889290	42	RESP=1
1899671	42	STIM=u
1902684	42	RESP=1
1917705	42	STIM=5
1923226	42	RESP=2
1933270	42	STIM=y
1936107	42	RESP=1
1949238	42	STIM=7
1958008	42	RESP=2
1966126	42	STIM=x
1970861	42	RESP=2
1983360	42	STIM=e
1988078	42	RESP=1
1999153	42	STIM=9
2004231	42	RESP=2
2014259	42	STIM=z
2018978	42	RESP=1
2030455	42	STIM=t
2035383	42	RESP=1
2048832	42	STIM=s
2053438	42	RESP=1
2067381	42	STIM=t
2071396	42	RESP=1
2082978	42	STIM=h
2086140	42	RESP=1
2101673	42	STIM=x
2105516	42	RESP=1
2117467	42	STIM=t
2120170	42	RESP=1
2136259	42	STIM=8
2140415	42	RESP=2
2154136	42	STIM=4
2160519	42	RESP=2
2170101	42	STIM=s
2176947	42	RESP=1
2188066	42	STIM=b
2192435	42	RESP=1
2203742	42	STIM=7
2207515	42	RESP=2
2221903	42	STIM=w
2225706	42	RESP=1
2238729	42	STIM=i
2241527	42	RESP=2
2254633	42	STIM=j
2258460	42	RESP=1
2270962	42	STIM=y
2274667	42	RESP=1
2287649	42	STIM=s
2290347	42	RESP=1
2302874	42	STIM=j
2310525	42	RESP=1
2319732	42	STIM=t
2324112	42	RESP=2
2337464	42	STIM=p
2342136	42	RESP=1
2356381	42	STIM=a
2360426	42	RESP=1
2375148	42	STIM=n
2379449	42	RESP=1
2392597	42	STIM=w
2399336	42	RESP=1
2408148	42	STIM=s
2412076	42	RESP=1
2425623	42	STIM=s
2429854	42	RESP=1
2441312	42	STIM=a
2448981	42	RESP=1
2459990	42	STIM=i
2464488	42	RESP=1
2475130	42	STIM=y
2480459	42	RESP=1
2490774	42	STIM=w
2494853	42	RESP=1
2509613	42	STIM=k
2514079	42	RESP=1
2526154	42	STIM=z
2530363	42	RESP=1
2544770	42	STIM=b
2548481	42	RESP=1
2560582	42	STIM=f
2565509	42	RESP=1
2577469	42	STIM=0
2581237	42	RESP=2
2594762	42	STIM=j
2599610	42	RESP=1
2610277	42	STIM=p
2614710	42	RESP=1
2628559	42	STIM=n
2633815	42	RESP=1
2647045	42	STIM=v
2649997	42	RESP=1
2664353	42	STIM=f
2668601	42	RESP=1
2681829	42	STIM=b
2686776	42	RESP=1
2700185	42	STIM=4
2704123	42	RESP=2
2719147	42	STIM=s
2726190	42	RESP=1
2734927	42	STIM=8
2740595	42	RESP=1
2753070	42	STIM=o
2758642	42	RESP=1
2771868	42	STIM=0
2781154	42	RESP=2
2787652	42	STIM=i
2791449	42	RESP=1
2806114	42	STIM=7
2811937	42	RESP=2
2822105	42	STIM=3
2829896	42	RESP=2
2839804	42	STIM=u
2845866	42	RESP=1
2858085	42	STIM=f
2864194	42	RESP=1
2876404	42	STIM=7
2883634	42	RESP=2
2895121	42	STIM=g
2901179	42	RESP=2
2911691	42	STIM=w
2915041	42	RESP=1
2927177	42	STIM=4
2931317	42	RESP=2
2945314	42	STIM=x
2948991	42	RESP=1
2960583	42	STIM=o
2972746	42	RESP=1
2975790	42	STIM=n
2979482	42	RESP=1
2992795	42	STIM=5
2999643	42	RESP=2
3007924	42	STIM=z
3013276	42	RESP=1
3026065	42	STIM=j
3029461	42	RESP=1
3042922	42	STIM=y
3047523	42	RESP=2
3058648	42	STIM=m
3061770	42	RESP=1
3076063	42	STIM=k
3081729	42	RESP=1
3091568	42	STIM=x
3096245	42	RESP=2
3106676	42	STIM=m
3110185	42	RESP=1
3123914	42	STIM=0
3133781	42	RESP=2
3142040	42	STIM=t
3146988	42	RESP=1
3157167	42	STIM=f
3162572	42	RESP=1
3173092	42	STIM=x
3176243	42	RESP=1
3188544	42	STIM=0
3192556	42	RESP=2
3204466	42	STIM=7
3208408	42	RESP=2
3222124	42	STIM=v
3226067	42	RESP=1
3240717	42	STIM=s
3245268	42	RESP=1
3256143	42	STIM=l
3259762	42	RESP=1
3273181	42	STIM=n
3276336	42	RESP=1
3291699	42	STIM=p
3297565	42	RESP=1
3309440	42	STIM=i
3317343	42	RESP=1
3326804	42	STIM=m
3334689	42	RESP=1
3343678	42	STIM=x
3346218	42	RESP=1
3358949	42	STIM=e
3363726	42	RESP=1
3376258	42	STIM=9
3381976	42	RESP=2
3391855	42	STIM=w
3395619	42	RESP=1
3409498	42	STIM=0
3413666	42	RESP=2
3425627	42	STIM=h
3433133	42	RESP=1
3440908	42	STIM=m
3445963	42	RESP=1
3457857	42	STIM=h
3461829	42	RESP=1
3473111	42	STIM=i
3476759	42	RESP=1
3490573	42	STIM=m
3495089	42	RESP=1
3507876	42	STIM=w
3513962	42	RESP=1
3524728	42	STIM=g
3530571	42	RESP=1
3541260	42	STIM=u
3547136	42	RESP=1
3558433	42	STIM=i
3564784	42	RESP=1
3576708	42	STIM=w
3579724	42	RESP=1
3591905	42	STIM=v
3596144	42	RESP=1
3610864	42	STIM=m
3615260	42	RESP=1
3629605	42	STIM=h
3637318	42	RESP=1
3645538	42	STIM=a
3648804	42	RESP=1
3662212	42	STIM=e
3667856	42	RESP=1
3677461	42	STIM=y
3682250	42	RESP=1
3694849	42	STIM=w
3698292	42	RESP=1
3713328	42	STIM=f
3718353	42	RESP=1
3731458	42	STIM=f
3735948	42	RESP=1
3749363	42	STIM=z
3754738	42	RESP=1
3767004	42	STIM=p
3770076	42	RESP=1
3782961	42	STIM=p
3785694	42	RESP=1
3798956	42	STIM=5
3804982	42	RESP=2
3817052	42	STIM=j
3820590	42	RESP=1
3833780	42	STIM=l
3837619	42	RESP=1
3849829	42	STIM=f
3859471	42	RESP=1
3866244	42	STIM=w
3870651	42	RESP=1
3882226	42	STIM=y
3888658	42	RESP=1
3899207	42	STIM=q
3903953	42	RESP=1
3917880	42	STIM=y
3923327	42	RESP=1
3933549	42	STIM=3
3939667	42	RESP=2
3949781	42	STIM=u
3953422	42	RESP=1
3966438	42	STIM=l
3972169	42	RESP=1
3985018	42	STIM=1
3989375	42	RESP=2
4000699	42	STIM=z
4005079	42	RESP=1
4016003	42	STIM=u
4019297	42	RESP=1
4034093	42	STIM=j
4036739	42	RESP=1
4051484	42	STIM=k
4059427	42	RESP=1
4066845	42	STIM=5
4075346	42	RESP=2
4084584	42	STIM=h
4090042	42	RESP=1
4100843	42	STIM=h
4105322	42	RESP=1
4119016	42	STIM=w
4123562	42	RESP=1
4136396	42	STIM=9
4141175	42	RESP=2
4152031	42	STIM=e
4155785	42	RESP=1
4170983	42	STIM=u
4176437	42	RESP=1
4186664	42	STIM=y
4190684	42	RESP=1
4205466	42	STIM=l
4208671	42	RESP=1
4221377	42	STIM=u
4225426	42	RESP=1
4239480	42	STIM=l
4245407	42	RESP=1
4256199	42	STIM=u
4262096	42	RESP=1
4273394	42	STIM=y
4279764	42	RESP=1
4289039	42	STIM=q
4292107	42	RESP=1
4306368	42	STIM=b
4312335	42	RESP=1
4325216	42	STIM=k
4331258	42	RESP=1
4341592	42	STIM=c
4345861	42	RESP=1
4358022	42	STIM=p
4362474	42	RESP=1
4376744	42	STIM=u
4381485	42	RESP=1
4392825	42	STIM=9
4401579	42	RESP=2
4408278	42	STIM=8
4412438	42	RESP=2
4426346	42	STIM=f
4432029	42	RESP=1
4443265	42	STIM=k
4446646	42	RESP=1
4460803	42	STIM=t
4466806	42	RESP=1
4478580	42	STIM=q
4481006	42	RESP=1
4494525	42	STIM=l
4498253	42	RESP=1
4510109	42	STIM=n
4515178	42	RESP=1
4529102	42	STIM=0
4532904	42	RESP=2
4547571	42	STIM=o
4550997	42	RESP=1
4564825	42	STIM=x
4569233	42	RESP=1
4582247	42	STIM=k
4587659	42	RESP=1
4601069	42	STIM=h
4604690	42	RESP=1
4616375	42	STIM=y
4621034	42	RESP=1
4633459	42	STIM=m
4637317	42	RESP=1
4652311	42	STIM=y
4655530	42	RESP=1
4667955	42	STIM=b
4673723	42	RESP=1
4685922	42	STIM=s
4693081	42	RESP=1
4704257	42	STIM=v
4707511	42	RESP=1
4721989	42	STIM=k
4725939	42	RESP=1
4740486	42	STIM=a
4746936	42	RESP=1
4756542	42	STIM=c
4762508	42	RESP=1
4772325	42	STIM=4
4783846	42	RESP=2
4789082	42	STIM=3
4797104	42	RESP=2
4804340	42	STIM=z
4809391	42	RESP=1
4822133	42	STIM=c
4827451	42	RESP=1
4838114	42	STIM=u
4842817	42	RESP=1
4854539	42	STIM=h
4858488	42	RESP=1
4872969	42	STIM=a
4876213	42	RESP=1
4889146	42	STIM=s
4895338	42	RESP=1
4905360	42	STIM=o
4908302	42	RESP=1
4920487	42	STIM=v
4925483	42	RESP=1
4938012	42	STIM=y
4945856	42	RESP=1
4957006	42	STIM=y
4963195	42	RESP=1
4973166	42	STIM=5
4980508	42	RESP=2
4989708	42	STIM=r
4994773	42	RESP=1
5005563	42	STIM=t
5008454	42	RESP=1
5021841	42	STIM=b
5025417	42	RESP=1
5038105	42	STIM=7
5043536	42	RESP=2
5055540	42	STIM=w
5059275	42	RESP=1
5071631	42	STIM=s
5077016	42	RESP=1
5089119	42	STIM=x
5092861	42	RESP=1
5104829	42	STIM=v
5109329	42	RESP=1
5122857	42	STIM=t
5127957	42	RESP=1
5141420	42	STIM=v
5144848	42	RESP=1
5157381	42	STIM=j
5163160	42	RESP=1
5172449	42	STIM=w
5177128	42	RESP=1
5189015	42	STIM=r
5191608	42	RESP=1
5206859	42	STIM=s
5210450	42	RESP=1
5223296	42	STIM=t
5227702	42	RESP=2
5238897	42	STIM=y
5243926	42	RESP=1
5255783	42	STIM=i
5261543	42	RESP=1
5272401	42	STIM=z
5276791	42	RESP=1
5288836	42	STIM=l
5292942	42	RESP=1
5305662	42	STIM=w
5309803	42	RESP=1
5323722	42	STIM=c
5327182	42	RESP=1
5340333	42	STIM=l
5344356	42	RESP=1
5359326	42	STIM=t
5361906	42	RESP=1
5377122	42	STIM=k
5381010	42	RESP=1
5395673	42	STIM=p
5401170	42	RESP=1
5413854	42	STIM=9
5423059	42	RESP=2
5432696	42	STIM=5
5439255	42	RESP=2
5451565	42	STIM=7
5457519	42	RESP=2
5466610	42	STIM=y
5469586	42	RESP=1
5484536	42	STIM=p
5489842	42	RESP=1
5501431	42	STIM=i
5507410	42	RESP=1
5517611	42	STIM=t
5522103	42	RESP=1
5533986	42	STIM=4
5541095	42	RESP=2
5549153	42	STIM=c
5557101	42	RESP=1
5564517	42	STIM=a
5567205	42	RESP=1
5582930	42	STIM=o
5586866	42	RESP=1
5598431	42	STIM=b
5605379	42	RESP=1
5614202	42	STIM=4
5619146	42	RESP=2
5630905	42	STIM=b
5633579	42	RESP=1
5646637	42	STIM=i
5651561	42	RESP=1
5662737	42	STIM=s
5666279	42	RESP=1
5678606	42	STIM=u
5683669	42	RESP=1
5695904	42	STIM=f
5701071	42	RESP=1
5711726	42	STIM=z
5716204	42	RESP=2
5727894	42	STIM=x
5737161	42	RESP=1
5744199	42	STIM=1
5748562	42	RESP=2
5761750	42	STIM=p
5766759	42	RESP=1
5777203	42	STIM=y
5781864	42	RESP=1
5795702	42	STIM=y
5800867	42	RESP=1
5812073	42	STIM=t
5815466	42	RESP=1
5830667	42	STIM=c
5837173	42	RESP=1
5849436	42	STIM=9
5856434	42	RESP=2
5868268	42	STIM=i
5875033	42	RESP=1
5887066	42	STIM=3
5896468	42	RESP=2
5904366	42	STIM=n
5908603	42	RESP=1
5920076	42	STIM=z
5924487	42	RESP=1
5937540	42	STIM=6
5945218	42	RESP=2
5954531	42	STIM=l
5959895	42	RESP=1
5972741	42	STIM=u
5977021	42	RESP=2
5987926	42	STIM=n
5997062	42	RESP=1
6004325	42	STIM=w
6009469	42	RESP=1
6021093	42	STIM=m
6025611	42	RESP=1
6038518	42	STIM=b
6043834	42	RESP=1
6053872	42	STIM=4
6059999	42	RESP=2
6069520	42	STIM=p
6073470	42	RESP=1
6087128	42	STIM=y
6090027	42	RESP=1
6103985	42	STIM=q
6107664	42	RESP=1
6121796	42	STIM=9
6126718	42	RESP=2
6138298	42	STIM=r
6142192	42	RESP=1
6155744	42	STIM=i
6159327	42	RESP=1
6173722	42	STIM=b
6178873	42	RESP=1
6191831	42	STIM=3
6197017	42	RESP=1
6208647	42	STIM=f
6216410	42	RESP=1
6227340	42	STIM=6
6234024	42	RESP=1
6244560	42	STIM=p
6248603	42	RESP=1
6262943	42	STIM=s
6266991	42	RESP=1
6280243	42	STIM=b
6284918	42	RESP=1
6297398	42	STIM=h
6300536	42	RESP=1
6313296	42	STIM=g
6318019	42	RESP=1
6329992	42	STIM=z
6335006	42	RESP=2
6345806	42	STIM=r
6349355	42	RESP=2
6363816	42	STIM=9
6370238	42	RESP=2
6381137	42	STIM=t
6384500	42	RESP=1
6397862	42	STIM=8
6402204	42	RESP=2
6414467	42	STIM=e
6417688	42	RESP=1
6432748	42	STIM=g
6436194	42	RESP=1
6451625	42	STIM=0
6458041	42	RESP=2
6468596	42	STIM=z
6473013	42	RESP=1
6486247	42	STIM=n
6489311	42	RESP=1
6503490	42	STIM=5
6508865	42	RESP=2
6519401	42	STIM=6
6526860	42	RESP=1
6535674	42	STIM=b
6539525	42	RESP=1
6554403	42	STIM=3
6561473	42	RESP=2
6570677	42	STIM=l
6574393	42	RESP=1
6589332	42	STIM=3
6593206	42	RESP=2
6606557	42	STIM=0
6612340	42	RESP=2
6622230	42	STIM=a
6625685	42	RESP=1
6639978	42	STIM=c
6644055	42	RESP=1
6655650	42	STIM=a
6661066	42	RESP=1
6671333	42	STIM=t
6676210	42	RESP=1
6688581	42	STIM=0
6693857	42	RESP=2
6704224	42	STIM=3
6712083	42	RESP=2
6722313	42	STIM=r
6726339	42	RESP=1
6737450	42	STIM=8
6743126	42	RESP=2
6754501	42	STIM=5
6758332	42	RESP=2
6772417	42	STIM=3
6777875	42	RESP=2
6790394	42	STIM=d
6793872	42	RESP=1
6806294	42	STIM=c
6814736	42	RESP=1
6822730	42	STIM=7
6827926	42	RESP=2
6841281	42	STIM=x
6845237	42	RESP=1
6857845	42	STIM=s
6861376	42	RESP=1
6873907	42	STIM=a
6879024	42	RESP=1
6890929	42	STIM=g
6895041	42	RESP=1
6906468	42	STIM=p
6911034	42	RESP=1
6924497	42	STIM=u
6927151	42	RESP=1
6943381	42	STIM=b
6949096	42	RESP=1
6961610	42	STIM=o
6971152	42	RESP=1
6978129	42	STIM=3
6984412	42	RESP=2
6996115	42	STIM=c
6999086	42	RESP=1
7014287	42	STIM=9
7018141	42	RESP=2
7029507	42	STIM=e
7034782	42	RESP=1
7046030	42	STIM=e
7049896	42	RESP=1
7063383	42	STIM=v
7070619	42	RESP=1
7081875	42	STIM=x
7085832	42	RESP=1
7098187	42	STIM=7
7103239	42	RESP=2
7115103	42	STIM=y
7117909	42	RESP=1
7133529	42	STIM=k
7142888	42	RESP=1
7151929	42	STIM=x
7157125	42	RESP=1
7169429	42	STIM=b
7176509	42	RESP=1
7187010	42	STIM=g
7191786	42	RESP=1
7202803	42	STIM=g
7207085	42	RESP=1
7221337	42	STIM=0
7225690	42	RESP=2
7238090	42	STIM=e
7242913	42	RESP=1
7254760	42	STIM=u
7258867	42	RESP=1
7272793	42	STIM=8
7276427	42	RESP=2
7288614	42	STIM=4
7296387	42	RESP=2
7305711	42	STIM=c
7310548	42	RESP=1
7322843	42	STIM=k
7326774	42	RESP=1
7338780	42	STIM=6
7343572	42	RESP=2
7354375	42	STIM=l
7360525	42	RESP=1
7371679	42	STIM=e
7376862	42	RESP=1
7387189	42	STIM=f
7390178	42	RESP=1
7405293	42	STIM=h
7409193	42	RESP=1
7420849	42	STIM=u
7425026	42	RESP=1
7435900	42	STIM=d
7440444	42	RESP=1
7454198	42	STIM=0
7458019	42	RESP=2
7469316	42	STIM=z
7474007	42	RESP=1
7484395	42	STIM=1
7490213	42	RESP=2
7500331	42	STIM=k
7505586	42	RESP=1
7518258	42	STIM=k
7524607	42	RESP=1
7536134	42	STIM=o
7541062	42	RESP=1
7551902	42	STIM=v
7555513	42	RESP=1
7568462	42	STIM=y
7572446	42	RESP=1
7585493	42	STIM=v
7589781	42	RESP=1
7602841	42	STIM=z
7608996	42	RESP=1
7619449	42	STIM=m
7624795	42	RESP=1
7636865	42	STIM=n
7644603	42	RESP=1
7654235	42	STIM=r
7658399	42	RESP=1
7670750	42	STIM=s
7677408	42	RESP=1
7689423	42	STIM=3
7693310	42	RESP=2
7708035	42	STIM=1
7711930	42	RESP=2
7725954	42	STIM=p
7732939	42	RESP=1
7742212	42	STIM=k
7747850	42	RESP=1
7760122	42	STIM=g
7764286	42	RESP=1
7776722	42	STIM=c
7780627	42	RESP=1
7791738	42	STIM=o
7796248	42	RESP=1
7808850	42	STIM=h
7813758	42	RESP=1
7825047	42	STIM=f
7828137	42	RESP=1
7840882	42	STIM=6
7845350	42	RESP=2
7858991	42	STIM=v
7865517	42	RESP=1
7874266	42	STIM=x
7877445	42	RESP=1
7890096	42	STIM=9
7898688	42	RESP=2
7908007	42	STIM=d
7913388	42	RESP=1
7925379	42	STIM=x
7929104	42	RESP=1
7943752	42	STIM=9
7949979	42	RESP=2
7959630	42	STIM=t
7965802	42	RESP=1
7976150	42	STIM=x
7980438	42	RESP=1
7992056	42	STIM=3
7996755	42	RESP=2
8009428	42	STIM=6
8020508	42	RESP=2
8025265	42	STIM=k
8030892	42	RESP=1
8042513	42	STIM=1
8047470	42	RESP=2
8059795	42	STIM=d
8065151	42	RESP=1
8077762	42	STIM=h
8084149	42	RESP=1
8093648	42	STIM=0
8101676	42	RESP=2
8109538	42	STIM=f
8113088	42	RESP=1
8128026	42	STIM=m
8134167	42	RESP=1
8143326	42	STIM=a
8146435	42	RESP=1
8159437	42	STIM=f
8165352	42	RESP=1
8174909	42	STIM=o
8180282	42	RESP=1
8192986	42	STIM=x
8196287	42	RESP=1
8211398	42	STIM=9
8217879	42	RESP=2
8226425	42	STIM=q
8229111	42	RESP=1
8241895	42	STIM=p
8248935	42	RESP=1
8258741	42	STIM=l
8267569	42	RESP=1
8275556	42	STIM=b
8281824	42	RESP=1
8291108	42	STIM=o
8297512	42	RESP=1
8306495	42	STIM=e
8311827	42	RESP=1
8323770	42	STIM=f
8327279	42	RESP=1
8340723	42	STIM=b
8344322	42	RESP=2
8359529	42	STIM=s
8363384	42	RESP=1
8377909	42	STIM=h
8383402	42	RESP=1
8394643	42	STIM=t
8402413	42	RESP=1
8412558	42	STIM=4
8417270	42	RESP=2
8431194	42	STIM=s
8442096	42	RESP=1
8447806	42	STIM=o
8455472	42	RESP=1
8463225	42	STIM=i
8469733	42	RESP=1
8479798	42	STIM=c
8483955	42	RESP=1
8498354	42	STIM=a
8504860	42	RESP=1
8513968	42	STIM=a
8518420	42	RESP=1
8529021	42	STIM=t
8535746	42	RESP=1
8544770	42	STIM=d
8550191	42	RESP=1
8561571	42	STIM=d
8565767	42	RESP=1
8578641	42	STIM=p
8583191	42	RESP=1
8597043	42	STIM=e
8601682	42	RESP=1
8614670	42	STIM=2
8620035	42	RESP=2
8631321	42	STIM=5
8636762	42	RESP=2
8647059	42	STIM=e
8655698	42	RESP=1
8663092	42	STIM=h
8666058	42	RESP=1
8679541	42	STIM=s
8687787	42	RESP=1
8695242	42	STIM=v
8700308	42	RESP=1
8713285	42	STIM=3
8717037	42	RESP=2
8728804	42	STIM=e
8733686	42	RESP=1
8747765	42	STIM=r
8752449	42	RESP=2
8763535	42	STIM=7
8767384	42	RESP=2
8782366	42	STIM=9
8788035	42	RESP=2
8801116	42	STIM=f
8806802	42	RESP=1
8819471	42	STIM=t
8824254	42	RESP=1
8834909	42	STIM=f
8838474	42	RESP=1
8850626	42	STIM=e
8854924	42	RESP=1
8868887	42	STIM=i
8874684	42	RESP=1
8885571	42	STIM=j
8891341	42	RESP=1
8904300	42	STIM=r
8914014	42	RESP=1
8922060	42	STIM=z
8925718	42	RESP=1
8937075	42	STIM=p
8942917	42	RESP=1
8954830	42	STIM=0
8960504	42	RESP=2
8973665	42	STIM=e
8982438	42	RESP=1
8991196	42	STIM=n
8995116	42	RESP=1
9009949	42	STIM=l
9014963	42	RESP=1
9027649	42	STIM=b
9032631	42	RESP=1
9045551	42	STIM=7
9049475	42	RESP=2
9061970	42	STIM=w
9064778	42	RESP=1
9079258	42	STIM=u
