# Original filename: 0055_NSP_2016-11-03.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37126	42	STIM=y
44963	42	RESP=1
52530	42	STIM=s
58431	42	RESP=1
70904	42	STIM=1
81498	42	RESP=2
89314	42	STIM=q
95075	42	RESP=1
104460	42	STIM=a
113283	42	RESP=1
123376	42	STIM=8
127071	42	RESP=2
141439	42	STIM=2
149300	42	RESP=2
159809	42	STIM=o
163403	42	RESP=1
175575	42	STIM=o
186016	42	RESP=1
193961	42	STIM=r
198095	42	RESP=1
209482	42	STIM=l
214729	42	RESP=1
226285	42	STIM=v
230800	42	RESP=1
245278	42	STIM=v
249218	42	RESP=1
261354	42	STIM=o
267518	42	RESP=1
279842	42	STIM=7
285716	42	RESP=1
297654	42	STIM=g
301612	42	RESP=1
313555	42	STIM=a
317200	42	RESP=1
330355	42	STIM=z
339048	42	RESP=1
347589	42	STIM=a
353549	42	RESP=1
364792	42	STIM=q
368135	42	RESP=1
382121	42	STIM=f
385234	42	RESP=1
399317	42	STIM=4
405182	42	RESP=2
416303	42	STIM=l
420462	42	RESP=1
432015	42	STIM=e
437422	42	RESP=1
447666	42	STIM=h
452467	42	RESP=1
466060	42	STIM=e
472157	42	RESP=1
482916	42	STIM=k
487287	42	RESP=1
497928	42	STIM=2
506560	42	RESP=2
516902	42	STIM=f
520908	42	RESP=1
533461	42	STIM=q
538824	42	RESP=1
548830	42	STIM=u
555514	42	RESP=1
564819	42	STIM=i
569800	42	RESP=1
583359	42	STIM=m
586837	42	RESP=1
601947	42	STIM=s
606262	42	RESP=1
617199	42	STIM=v
620698	42	RESP=1
634378	42	STIM=n
638505	42	RESP=1
652440	42	STIM=d
657392	42	RESP=1
670772	42	STIM=s
677523	42	RESP=1
689766	42	STIM=x
694773	42	RESP=1
705239	42	STIM=w
708929	42	RESP=1
722913	42	STIM=a
729793	42	RESP=1
738981	42	STIM=h
743685	42	RESP=1
755756	42	STIM=p
760433	42	RESP=1
771385	42	STIM=3
777189	42	RESP=1
789757	42	STIM=b
793621	42	RESP=1
805774	42	STIM=j
808760	42	RESP=1
821359	42	STIM=x
