# Original filename: 0044_AFZ_2017-05-17.log
# Time unit: 100 us
# RARECAT=digit
#
# Time	HHGG	Event
37470	42	STIM=c
42754	42	RESP=1
56358	42	STIM=j
61689	42	RESP=1
71421	42	STIM=u
76638	42	RESP=1
90003	42	STIM=f
95006	42	RESP=1
107837	42	STIM=h
112236	42	RESP=1
124136	42	STIM=h
130359	42	RESP=1
139826	42	STIM=n
144664	42	RESP=1
155733	42	STIM=v
158725	42	RESP=1
172640	42	STIM=v
175936	42	RESP=1
189039	42	STIM=r
194960	42	RESP=1
206658	42	STIM=h
211581	42	RESP=1
222352	42	STIM=n
226162	42	RESP=1
240878	42	STIM=3
244154	42	RESP=2
256501	42	STIM=x
260336	42	RESP=1
271783	42	STIM=u
282094	42	RESP=1
289552	42	STIM=p
298640	42	RESP=1
306429	42	STIM=4
317980	42	RESP=2
324518	42	STIM=f
328663	42	RESP=1
340620	42	STIM=s
344739	42	RESP=1
359404	42	STIM=y
371475	42	RESP=1
375526	42	STIM=q
380991	42	RESP=1
390715	42	STIM=m
400946	42	RESP=1
406329	42	STIM=0
414462	42	RESP=1
424330	42	STIM=y
429315	42	RESP=1
439864	42	STIM=5
449103	42	RESP=2
457617	42	STIM=h
460873	42	RESP=1
474612	42	STIM=e
480139	42	RESP=1
491946	42	STIM=v
498679	42	RESP=1
509344	42	STIM=v
515700	42	RESP=1
524373	42	STIM=z
529503	42	RESP=1
540049	42	STIM=s
545580	42	RESP=1
557046	42	STIM=k
561801	42	RESP=1
574735	42	STIM=7
583173	42	RESP=1
591622	42	STIM=s
595740	42	RESP=1
610521	42	STIM=b
614700	42	RESP=1
627699	42	STIM=w
633543	42	RESP=1
644435	42	STIM=j
648938	42	RESP=1
660781	42	STIM=7
665080	42	RESP=2
675986	42	STIM=y
680048	42	RESP=1
692645	42	STIM=5
699855	42	RESP=2
709780	42	STIM=w
715136	42	RESP=1
726026	42	STIM=8
735223	42	RESP=2
744024	42	STIM=3
753596	42	RESP=2
761031	42	STIM=v
764917	42	RESP=1
778806	42	STIM=d
785646	42	RESP=1
794081	42	STIM=w
797508	42	RESP=1
809797	42	STIM=o
817234	42	RESP=1
825019	42	STIM=d
833686	42	RESP=1
842268	42	STIM=h
845540	42	RESP=1
858712	42	STIM=q
862376	42	RESP=1
877557	42	STIM=a
882092	42	RESP=1
896391	42	STIM=b
901799	42	RESP=1
915059	42	STIM=8
920057	42	RESP=2
933409	42	STIM=r
939728	42	RESP=1
948658	42	STIM=l
956182	42	RESP=1
966948	42	STIM=w
976281	42	RESP=1
983133	42	STIM=t
990385	42	RESP=1
998426	42	STIM=e
1005360	42	RESP=2
1015829	42	STIM=b
1022744	42	RESP=1
1034271	42	STIM=3
1043385	42	RESP=2
1051803	42	STIM=7
1056175	42	RESP=1
1070605	42	STIM=l
1078074	42	RESP=1
1087507	42	STIM=h
1090126	42	RESP=1
1103513	42	STIM=u
1107873	42	RESP=1
1120358	42	STIM=n
1126561	42	RESP=2
1138669	42	STIM=a
1147634	42	RESP=1
1154754	42	STIM=y
1161052	42	RESP=1
1171733	42	STIM=u
1181613	42	RESP=1
1188169	42	STIM=o
1194659	42	RESP=1
1206122	42	STIM=e
1211372	42	RESP=1
1221708	42	STIM=o
1226712	42	RESP=1
1237768	42	STIM=x
1244700	42	RESP=1
1254769	42	STIM=t
1259760	42	RESP=1
1271602	42	STIM=8
